logical: 15341, physical: 5101, byte value: 0
logical: 15598, physical: 9966, byte value: 15
logical: 59922, physical: 21010, byte value: 58
logical: 18226, physical: 306, byte value: 17
logical: 48162, physical: 2338, byte value: 47
logical: 41250, physical: 15906, byte value: 40
logical: 1512, physical: 8168, byte value: 0
logical: 2546, physical: 24562, byte value: 2
logical: 41682, physical: 17874, byte value: 40
logical: 322, physical: 14658, byte value: 0
logical: 880, physical: 16752, byte value: 0
logical: 20891, physical: 15259, byte value: 102
logical: 56604, physical: 19996, byte value: 0
logical: 40166, physical: 29926, byte value: 39
logical: 26791, physical: 11943, byte value: 41
logical: 44560, physical: 8720, byte value: 0
logical: 38698, physical: 25642, byte value: 37
logical: 64127, physical: 4735, byte value: -97
logical: 15028, physical: 8372, byte value: 0
logical: 38669, physical: 25613, byte value: 0
logical: 45637, physical: 4165, byte value: 0
logical: 43151, physical: 19599, byte value: 35
logical: 9465, physical: 11257, byte value: 0
logical: 2498, physical: 24514, byte value: 2
logical: 13978, physical: 21658, byte value: 13
logical: 16326, physical: 8646, byte value: 15
logical: 51442, physical: 22258, byte value: 50
logical: 34845, physical: 5405, byte value: 0
logical: 63667, physical: 25011, byte value: 44
logical: 39370, physical: 5834, byte value: 38
logical: 55671, physical: 12663, byte value: 93
logical: 64496, physical: 12528, byte value: 0
logical: 7767, physical: 31575, byte value: -107
logical: 6283, physical: 21899, byte value: 34
logical: 55884, physical: 23628, byte value: 0
logical: 61103, physical: 30127, byte value: -85
logical: 10184, physical: 27592, byte value: 0
logical: 39543, physical: 28279, byte value: -99
